source,period,vehicle,from_store,to_store,sku,lt_qty,lt_unit_cost,lt_fixed_cost,lt_total_cost,pattern_id,lambda_value
CG_LT,100,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,3,0.6,0.680154,2.460763,LT_AN RICE CRACKER SEAWEED 111.3G_T100_1,0.340077
CG_LT,100,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,0.680154,2.294846,LT_AN RICE CRACKER SEAWEED 111.3G_T100_1,0.340077
CG_LT,100,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,0.680154,1.857777,LT_AN RICE CRACKER SEAWEED 111.3G_T100_1,0.340077
CG_LT,100,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.778747,LT_AN RICE CRACKER SEAWEED 111.3G_T100_3,1.0
CG_LT,100,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.147943,LT_AN RICE CRACKER SEAWEED 111.3G_T100_3,1.0
CG_LT,100,,MM BIEN HOA,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.455926,LT_AN RICE CRACKER SEAWEED 111.3G_T100_4,1.0
CG_LT,100,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.673303,LT_AN RICE CRACKER SEAWEED 111.3G_T100_4,1.0
CG_LT,100,,MM BINH DUONG,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,4.720942,LT_AN RICE CRACKER SEAWEED 111.3G_T100_4,1.0
CG_LT,101,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,0.847439,2.397292,LT_AN RICE CRACKER SEAWEED 111.3G_T101_4,0.423719
CG_LT,101,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,0.847439,1.656042,LT_AN RICE CRACKER SEAWEED 111.3G_T101_4,0.423719
CG_LT,101,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,0.847439,1.941733,LT_AN RICE CRACKER SEAWEED 111.3G_T101_4,0.423719
CG_LT,103,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,5.234841,LT_AN RICE CRACKER SEAWEED 111.3G_T103_1,1.0
CG_LT,103,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.637057,LT_AN RICE CRACKER SEAWEED 111.3G_T103_1,1.0
CG_LT,103,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.898445,5.745621,LT_AN RICE CRACKER SEAWEED 111.3G_T103_2,0.949223
CG_LT,103,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,1.898445,3.282917,LT_AN RICE CRACKER SEAWEED 111.3G_T103_2,0.949223
CG_LT,103,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,1.898445,4.005156,LT_AN RICE CRACKER SEAWEED 111.3G_T103_2,0.949223
CG_LT,103,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.549991,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,103,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.226517,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,103,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.065101,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,103,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.243355,LT_AN RICE CRACKER SEAWEED 111.3G_T103_5,1.0
CG_LT,104,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,1.812275,4.30304,LT_AN RICE CRACKER SEAWEED 111.3G_T104_2,0.906138
CG_LT,104,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,1.812275,6.737153,LT_AN RICE CRACKER SEAWEED 111.3G_T104_2,0.906138
CG_LT,105,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.489672,LT_AN RICE CRACKER SEAWEED 111.3G_T105_1,1.0
CG_LT,105,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.886412,LT_AN RICE CRACKER SEAWEED 111.3G_T105_1,1.0
CG_LT,105,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.14344,LT_AN RICE CRACKER SEAWEED 111.3G_T105_1,1.0
CG_LT,105,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.751683,LT_AN RICE CRACKER SEAWEED 111.3G_T105_1,1.0
CG_LT,105,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.485407,LT_AN RICE CRACKER SEAWEED 111.3G_T105_2,1.0
CG_LT,105,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,5.922818,LT_AN RICE CRACKER SEAWEED 111.3G_T105_2,1.0
CG_LT,105,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.672056,LT_AN RICE CRACKER SEAWEED 111.3G_T105_2,1.0
CG_LT,105,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.719391,LT_AN RICE CRACKER SEAWEED 111.3G_T105_3,1.0
CG_LT,105,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.352576,LT_AN RICE CRACKER SEAWEED 111.3G_T105_4,1.0
CG_LT,105,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.805389,LT_AN RICE CRACKER SEAWEED 111.3G_T105_4,1.0
CG_LT,105,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.824172,LT_AN RICE CRACKER SEAWEED 111.3G_T105_4,1.0
CG_LT,105,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.708015,LT_AN RICE CRACKER SEAWEED 111.3G_T105_4,1.0
CG_LT,105,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.871066,LT_AN RICE CRACKER SEAWEED 111.3G_T105_5,1.0
CG_LT,105,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.659947,LT_AN RICE CRACKER SEAWEED 111.3G_T105_5,1.0
CG_LT,105,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.879568,LT_AN RICE CRACKER SEAWEED 111.3G_T105_5,1.0
CG_LT,105,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.337405,LT_AN RICE CRACKER SEAWEED 111.3G_T105_5,1.0
CG_LT,106,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.799462,LT_AN RICE CRACKER SEAWEED 111.3G_T106_2,1.0
CG_LT,107,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.728765,LT_AN RICE CRACKER SEAWEED 111.3G_T107_1,1.0
CG_LT,107,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.427579,LT_AN RICE CRACKER SEAWEED 111.3G_T107_2,1.0
CG_LT,107,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.931564,LT_AN RICE CRACKER SEAWEED 111.3G_T107_2,1.0
CG_LT,107,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,5.219369,LT_AN RICE CRACKER SEAWEED 111.3G_T107_3,1.0
CG_LT,107,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.879524,LT_AN RICE CRACKER SEAWEED 111.3G_T107_3,1.0
CG_LT,107,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,5.141831,LT_AN RICE CRACKER SEAWEED 111.3G_T107_3,1.0
CG_LT,107,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.745989,LT_AN RICE CRACKER SEAWEED 111.3G_T107_3,1.0
CG_LT,107,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,4.038563,LT_AN RICE CRACKER SEAWEED 111.3G_T107_4,1.0
CG_LT,107,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,4.751592,LT_AN RICE CRACKER SEAWEED 111.3G_T107_4,1.0
CG_LT,107,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.69079,LT_AN RICE CRACKER SEAWEED 111.3G_T107_4,1.0
CG_LT,108,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.065937,LT_AN RICE CRACKER SEAWEED 111.3G_T108_1,1.0
CG_LT,108,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.512992,LT_AN RICE CRACKER SEAWEED 111.3G_T108_1,1.0
CG_LT,108,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.353877,LT_AN RICE CRACKER SEAWEED 111.3G_T108_1,1.0
CG_LT,108,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.894665,LT_AN RICE CRACKER SEAWEED 111.3G_T108_2,1.0
CG_LT,108,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,2.932114,LT_AN RICE CRACKER SEAWEED 111.3G_T108_3,1.0
CG_LT,108,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.863175,LT_AN RICE CRACKER SEAWEED 111.3G_T108_3,1.0
CG_LT,108,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,7.064761,LT_AN RICE CRACKER SEAWEED 111.3G_T108_4,1.0
CG_LT,108,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.696498,LT_AN RICE CRACKER SEAWEED 111.3G_T108_4,1.0
CG_LT,108,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.796503,LT_AN RICE CRACKER SEAWEED 111.3G_T108_4,1.0
CG_LT,108,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.248991,LT_AN RICE CRACKER SEAWEED 111.3G_T108_4,1.0
CG_LT,108,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.41701,LT_AN RICE CRACKER SEAWEED 111.3G_T108_5,1.0
CG_LT,108,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.85202,LT_AN RICE CRACKER SEAWEED 111.3G_T108_5,1.0
CG_LT,109,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.599981,4.9268,LT_AN RICE CRACKER SEAWEED 111.3G_T109_1,0.799991
CG_LT,109,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,1.599981,2.218579,LT_AN RICE CRACKER SEAWEED 111.3G_T109_1,0.799991
CG_LT,109,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.599981,5.019844,LT_AN RICE CRACKER SEAWEED 111.3G_T109_1,0.799991
CG_LT,109,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.18629,LT_AN RICE CRACKER SEAWEED 111.3G_T109_3,1.0
CG_LT,109,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.620764,LT_AN RICE CRACKER SEAWEED 111.3G_T109_3,1.0
CG_LT,109,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.807497,LT_AN RICE CRACKER SEAWEED 111.3G_T109_3,1.0
CG_LT,109,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.520334,LT_AN RICE CRACKER SEAWEED 111.3G_T109_3,1.0
CG_LT,109,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.733244,LT_AN RICE CRACKER SEAWEED 111.3G_T109_5,1.0
CG_LT,109,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.389977,LT_AN RICE CRACKER SEAWEED 111.3G_T109_5,1.0
CG_LT,110,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,1.116677,2.948895,LT_AN RICE CRACKER SEAWEED 111.3G_T110_5,0.558339
CG_LT,110,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.116677,4.103108,LT_AN RICE CRACKER SEAWEED 111.3G_T110_5,0.558339
CG_LT,110,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,1.116677,3.667494,LT_AN RICE CRACKER SEAWEED 111.3G_T110_5,0.558339
CG_LT,111,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,0.841492,2.486542,LT_AN RICE CRACKER SEAWEED 111.3G_T111_3,0.420746
CG_LT,111,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,0.841492,2.420214,LT_AN RICE CRACKER SEAWEED 111.3G_T111_3,0.420746
CG_LT,111,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,0.841492,1.421787,LT_AN RICE CRACKER SEAWEED 111.3G_T111_3,0.420746
CG_LT,111,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,0.841492,2.78872,LT_AN RICE CRACKER SEAWEED 111.3G_T111_3,0.420746
CG_LT,112,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.326391,LT_AN RICE CRACKER SEAWEED 111.3G_T112_1,1.0
CG_LT,112,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.674481,5.172947,LT_AN RICE CRACKER SEAWEED 111.3G_T112_4,0.83724
CG_LT,112,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,1.674481,6.360153,LT_AN RICE CRACKER SEAWEED 111.3G_T112_4,0.83724
CG_LT,112,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,1.674481,6.072514,LT_AN RICE CRACKER SEAWEED 111.3G_T112_4,0.83724
CG_LT,112,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,1.674481,6.037065,LT_AN RICE CRACKER SEAWEED 111.3G_T112_4,0.83724
CG_LT,112,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,2.0,5.019807,LT_AN RICE CRACKER SEAWEED 111.3G_T112_5,1.0
CG_LT,112,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.47684,LT_AN RICE CRACKER SEAWEED 111.3G_T112_5,1.0
CG_LT,112,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.318336,LT_AN RICE CRACKER SEAWEED 111.3G_T112_5,1.0
CG_LT,112,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.950724,LT_AN RICE CRACKER SEAWEED 111.3G_T112_5,1.0
CG_LT,113,,MM BIEN HOA,MM HIEP PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,2.982883,LT_AN RICE CRACKER SEAWEED 111.3G_T113_4,1.0
CG_LT,113,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.825414,LT_AN RICE CRACKER SEAWEED 111.3G_T113_4,1.0
CG_LT,114,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,8,0.6,1.911378,6.8352,LT_AN RICE CRACKER SEAWEED 111.3G_T114_1,0.955689
CG_LT,114,,MM BINH DUONG,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,1,0.6,1.911378,2.558864,LT_AN RICE CRACKER SEAWEED 111.3G_T114_1,0.955689
CG_LT,114,,MM DA NANG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,1.911378,7.319341,LT_AN RICE CRACKER SEAWEED 111.3G_T114_1,0.955689
CG_LT,114,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.855098,LT_AN RICE CRACKER SEAWEED 111.3G_T114_2,1.0
CG_LT,114,,MM BINH DUONG,MM HIEP PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,2.0,5.410457,LT_AN RICE CRACKER SEAWEED 111.3G_T114_2,1.0
CG_LT,114,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.003438,LT_AN RICE CRACKER SEAWEED 111.3G_T114_2,1.0
CG_LT,114,,MM BINH DUONG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.835815,LT_AN RICE CRACKER SEAWEED 111.3G_T114_3,1.0
CG_LT,114,,MM BINH DUONG,MM HIEP PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.891539,LT_AN RICE CRACKER SEAWEED 111.3G_T114_3,1.0
CG_LT,114,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.260001,LT_AN RICE CRACKER SEAWEED 111.3G_T114_5,1.0
CG_LT,115,,MM BINH DUONG,MM BIEN HOA,AN RICE CRACKER SEAWEED 111.3G,1,0.6,1.020283,1.704063,LT_AN RICE CRACKER SEAWEED 111.3G_T115_2,0.510141
CG_LT,115,,MM BINH DUONG,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,1.020283,2.361925,LT_AN RICE CRACKER SEAWEED 111.3G_T115_2,0.510141
CG_LT,115,,MM BINH DUONG,MM HIEP PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.020283,3.864609,LT_AN RICE CRACKER SEAWEED 111.3G_T115_2,0.510141
CG_LT,116,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.766207,LT_AN RICE CRACKER SEAWEED 111.3G_T116_1,1.0
CG_LT,116,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.11749,LT_AN RICE CRACKER SEAWEED 111.3G_T116_1,1.0
CG_LT,116,,MM HIEP PHU,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,10,0.6,2.0,7.9727,LT_AN RICE CRACKER SEAWEED 111.3G_T116_1,1.0
CG_LT,116,,MM DA NANG,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,6.350976,LT_AN RICE CRACKER SEAWEED 111.3G_T116_3,1.0
CG_LT,116,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,2.0,3.30066,LT_AN RICE CRACKER SEAWEED 111.3G_T116_3,1.0
CG_LT,116,,MM HIEP PHU,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.985732,LT_AN RICE CRACKER SEAWEED 111.3G_T116_3,1.0
CG_LT,116,,MM BIEN HOA,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,2.0,5.960088,LT_AN RICE CRACKER SEAWEED 111.3G_T116_5,1.0
CG_LT,116,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.775571,LT_AN RICE CRACKER SEAWEED 111.3G_T116_5,1.0
CG_LT,116,,MM DA NANG,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.571949,LT_AN RICE CRACKER SEAWEED 111.3G_T116_5,1.0
CG_LT,116,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,9,0.6,2.0,7.511608,LT_AN RICE CRACKER SEAWEED 111.3G_T116_5,1.0
CG_LT,117,,MM BIEN HOA,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.470819,4.240438,LT_AN RICE CRACKER SEAWEED 111.3G_T117_1,0.73541
CG_LT,117,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.470819,5.137557,LT_AN RICE CRACKER SEAWEED 111.3G_T117_1,0.73541
CG_LT,117,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.470819,4.655874,LT_AN RICE CRACKER SEAWEED 111.3G_T117_1,0.73541
CG_LT,117,,MM BIEN HOA,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.575913,LT_AN RICE CRACKER SEAWEED 111.3G_T117_4,1.0
CG_LT,117,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,2.0,2.613696,LT_AN RICE CRACKER SEAWEED 111.3G_T117_4,1.0
CG_LT,117,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,1.438824,5.554754,LT_AN RICE CRACKER SEAWEED 111.3G_T117_5,0.719412
CG_LT,117,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,1.438824,2.12961,LT_AN RICE CRACKER SEAWEED 111.3G_T117_5,0.719412
CG_LT,117,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,6,0.6,1.438824,4.999313,LT_AN RICE CRACKER SEAWEED 111.3G_T117_5,0.719412
CG_LT,117,,MM DA NANG,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,4,0.6,1.438824,4.098909,LT_AN RICE CRACKER SEAWEED 111.3G_T117_5,0.719412
CG_LT,118,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,3,0.6,1.673357,3.263994,LT_AN RICE CRACKER SEAWEED 111.3G_T118_3,0.836679
CG_LT,118,,MM BIEN HOA,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,2,0.6,1.673357,2.598817,LT_AN RICE CRACKER SEAWEED 111.3G_T118_3,0.836679
CG_LT,118,,MM DA NANG,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,3,0.6,1.673357,3.657153,LT_AN RICE CRACKER SEAWEED 111.3G_T118_3,0.836679
CG_LT,118,,MM HIEP PHU,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,1,0.6,1.673357,2.116305,LT_AN RICE CRACKER SEAWEED 111.3G_T118_3,0.836679
CG_LT,118,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,0.279234,0.667365,LT_AN RICE CRACKER SEAWEED 111.3G_T118_4,0.139617
CG_LT,118,,MM DA NANG,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,0.279234,1.023448,LT_AN RICE CRACKER SEAWEED 111.3G_T118_4,0.139617
CG_LT,118,,MM DA NANG,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,0,0.6,0.279234,0.52703,LT_AN RICE CRACKER SEAWEED 111.3G_T118_4,0.139617
CG_LT,118,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,1,0.6,0.279234,0.673336,LT_AN RICE CRACKER SEAWEED 111.3G_T118_4,0.139617
CG_LT,118,,MM BIEN HOA,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,1.210613,2.633635,LT_AN RICE CRACKER SEAWEED 111.3G_T118_5,0.605307
CG_LT,118,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.210613,4.089927,LT_AN RICE CRACKER SEAWEED 111.3G_T118_5,0.605307
CG_LT,118,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,1.210613,2.443827,LT_AN RICE CRACKER SEAWEED 111.3G_T118_5,0.605307
CG_LT,11,,MM BINH PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.44387,LT_AN RICE CRACKER SEAWEED 111.3G_T11_1,1.0
CG_LT,11,,MM HIEP PHU,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,8,0.6,2.0,6.837785,LT_AN RICE CRACKER SEAWEED 111.3G_T11_1,1.0
CG_LT,11,,MM BIEN HOA,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,5,0.6,1.544103,4.617545,LT_AN RICE CRACKER SEAWEED 111.3G_T11_3,0.772051
CG_LT,11,,MM BIEN HOA,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,7,0.6,1.544103,5.662825,LT_AN RICE CRACKER SEAWEED 111.3G_T11_3,0.772051
CG_LT,11,,MM HIEP PHU,MM BINH PHU,AN RICE CRACKER SEAWEED 111.3G,7,0.6,1.544103,5.536471,LT_AN RICE CRACKER SEAWEED 111.3G_T11_3,0.772051
CG_LT,11,,MM HIEP PHU,MM DA NANG,AN RICE CRACKER SEAWEED 111.3G,2,0.6,0.983422,2.283516,LT_AN RICE CRACKER SEAWEED 111.3G_T11_4,0.491711
CG_LT,11,,MM BINH PHU,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,3,0.6,2.0,3.70885,LT_AN RICE CRACKER SEAWEED 111.3G_T11_5,1.0
CG_LT,11,,MM HIEP PHU,MM BINH DUONG,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.534643,LT_AN RICE CRACKER SEAWEED 111.3G_T11_5,1.0
CG_LT,120,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,4,0.6,2.0,4.153912,LT_AN RICE CRACKER SEAWEED 111.3G_T120_1,1.0
CG_LT,120,,MM HIEP PHU,MM AN PHU,AN RICE CRACKER SEAWEED 111.3G,2,0.6,0.962096,1.965172,LT_AN RICE CRACKER SEAWEED 111.3G_T120_2,0.481048
