iteration,current_cost,candidate_cost,best_cost,temperature,accepted,new_best,destroy_op,repair_op,feasible
0,17429680886.9,17429680886.9,17429680886.9,871484045.3450001,1.0,1.0,initial,initial,0.0
1,17429680886.9,17429734545.6,17429680886.9,871484045.3450001,0.0,0.0,destroy_random_route,repair_random,0.0
2,17429680886.9,17429721836.9,17429680886.9,869741077.2543101,0.0,0.0,destroy_worst_delivery,repair_regret2,0.0
3,17429680886.9,17429734545.6,17429680886.9,868001595.0998015,0.0,0.0,destroy_random_period,repair_regret2,0.0
4,17429680886.9,17429706275.9,17429680886.9,866265591.9096019,0.0,0.0,destroy_worst_delivery,repair_greedy,0.0
5,17426399501.1,17426399501.1,17426399501.1,864533060.7257828,1.0,1.0,destroy_shaw_stores,repair_random,1.0
6,17426399501.1,17426454527.499996,17426399501.1,862803994.6043311,0.0,0.0,destroy_random_route,repair_regret2,0.0
7,17387542870.699997,17387542870.699997,17387542870.699997,861078386.6151224,1.0,1.0,destroy_shaw_stores,repair_regret2,1.0
8,17387568259.699997,17387568259.699997,17387542870.699997,859356229.8418922,1.0,0.0,destroy_worst_delivery,repair_random,1.0
9,17387568259.699997,17387592536.5,17387542870.699997,857637517.3822085,0.0,0.0,destroy_random_route,repair_greedy,0.0
10,17387577268.699997,17387577268.699997,17387542870.699997,855922242.347444,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
11,17387577268.699997,17387592536.5,17387542870.699997,854210397.8627492,0.0,0.0,destroy_random_route,repair_greedy,0.0
12,17387577268.699997,17387577268.699997,17387542870.699997,852501977.0670238,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
13,17387577268.699997,17387577268.699997,17387542870.699997,850796973.1128896,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
14,17387577268.699997,17387592536.5,17387542870.699997,849095379.1666639,0.0,0.0,destroy_random_route,repair_greedy,0.0
15,17387577268.699997,17387592536.5,17387542870.699997,847397188.4083306,0.0,0.0,destroy_random_route,repair_greedy,0.0
16,17387577268.699997,17387592536.5,17387542870.699997,845702394.0315139,0.0,0.0,destroy_random_period,repair_greedy,0.0
17,17387577268.699997,17387577268.699997,17387542870.699997,844010989.2434509,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
18,17387583820.699997,17387583820.699997,17387542870.699997,842322967.264964,1.0,0.0,destroy_shaw_stores,repair_random,1.0
19,17387583820.699997,17387583820.699997,17387542870.699997,840638321.3304341,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
20,17387583820.699997,17387592536.5,17387542870.699997,838957044.6877732,0.0,0.0,destroy_random_route,repair_greedy,0.0
21,17387583820.699997,17387592536.5,17387542870.699997,837279130.5983977,0.0,0.0,destroy_random_period,repair_random,0.0
22,17387583820.699997,17387592536.5,17387542870.699997,835604572.3372009,0.0,0.0,destroy_random_route,repair_greedy,0.0
23,17387583820.699997,17387583820.699997,17387542870.699997,833933363.1925265,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
24,17387583820.699997,17387592588.1,17387542870.699997,832265496.4661415,0.0,0.0,destroy_random_route,repair_random,0.0
25,17387583820.699997,17387592536.5,17387542870.699997,830600965.4732091,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
26,17387583872.299995,17387583872.299995,17387542870.699997,828939763.5422627,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
27,17387583872.299995,17387592606.199997,17387542870.699997,827281884.0151782,0.0,0.0,destroy_random_period,repair_random,0.0
28,17387583820.699997,17387583820.699997,17387542870.699997,825627320.2471478,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
29,17387583820.699997,17387583820.699997,17387542870.699997,823976065.6066535,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
30,17387583820.699997,17387592588.1,17387542870.699997,822328113.4754401,0.0,0.0,destroy_random_period,repair_random,0.0
31,17387583820.699997,17387592607.499996,17387542870.699997,820683457.2484893,0.0,0.0,destroy_random_period,repair_random,0.0
32,17387583872.299995,17387583872.299995,17387542870.699997,819042090.3339922,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
33,17387583872.299995,17387592536.5,17387542870.699997,817404006.1533242,0.0,0.0,destroy_random_route,repair_greedy,0.0
34,17387583872.299995,17387583872.299995,17387542870.699997,815769198.1410176,1.0,0.0,destroy_shaw_stores,repair_random,1.0
35,17387583872.299995,17387592606.199997,17387542870.699997,814137659.7447355,0.0,0.0,destroy_random_delivery,repair_random,0.0
36,17387583820.699997,17387583820.699997,17387542870.699997,812509384.425246,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
37,17387583820.699997,17387583820.699997,17387542870.699997,810884365.6563956,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
38,17387583872.299995,17387583872.299995,17387542870.699997,809262596.9250828,1.0,0.0,destroy_shaw_stores,repair_random,1.0
39,17387583872.299995,17387583872.299995,17387542870.699997,807644071.7312326,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
40,17387583872.299995,17387583872.299995,17387542870.699997,806028783.5877702,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
41,17387583872.299995,17387583872.299995,17387542870.699997,804416726.0205947,1.0,0.0,destroy_shaw_stores,repair_random,1.0
42,17387583872.299995,17387583872.299995,17387542870.699997,802807892.5685536,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
43,17387583872.299995,17387583872.299995,17387542870.699997,801202276.7834165,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
44,17387583820.699997,17387583820.699997,17387542870.699997,799599872.2298497,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
45,17387583872.299995,17387583872.299995,17387542870.699997,798000672.48539,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
46,17387583820.699997,17387583820.699997,17387542870.699997,796404671.1404191,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
47,17387583820.699997,17387592588.1,17387542870.699997,794811861.7981383,0.0,0.0,destroy_random_route,repair_random,0.0
48,17387583820.699997,17387592607.499996,17387542870.699997,793222238.0745419,0.0,0.0,destroy_random_delivery,repair_random,0.0
49,17387583820.699997,17387592536.5,17387542870.699997,791635793.5983928,0.0,0.0,destroy_random_period,repair_greedy,0.0
50,17387583820.699997,17387583820.699997,17387542870.699997,790052522.011196,1.0,0.0,destroy_worst_delivery,repair_random,1.0
51,17387583820.699997,17387583820.699997,17387542870.699997,788472416.9671736,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
52,17387583820.699997,17387583820.699997,17387542870.699997,786895472.1332393,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
53,17387583820.699997,17387583820.699997,17387542870.699997,785321681.1889728,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
54,17387583820.699997,17387583820.699997,17387542870.699997,783751037.8265948,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
55,17387583820.699997,17387583820.699997,17387542870.699997,782183535.7509416,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
56,17387583820.699997,17387592536.5,17387542870.699997,780619168.6794398,0.0,0.0,destroy_random_route,repair_greedy,0.0
57,17387583820.699997,17387583820.699997,17387542870.699997,779057930.342081,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
58,17387583820.699997,17387583820.699997,17387542870.699997,777499814.4813968,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
59,17387583820.699997,17387592536.5,17387542870.699997,775944814.852434,0.0,0.0,destroy_random_period,repair_regret2,0.0
60,17387583820.699997,17387583820.699997,17387542870.699997,774392925.2227292,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
61,17387583820.699997,17387583820.699997,17387542870.699997,772844139.3722837,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
62,17387583820.699997,17387583820.699997,17387542870.699997,771298451.0935391,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
63,17387583820.699997,17387583820.699997,17387542870.699997,769755854.191352,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
64,17387583820.699997,17387583820.699997,17387542870.699997,768216342.4829693,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
65,17387583820.699997,17387583820.699997,17387542870.699997,766679909.7980033,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
66,17387583820.699997,17387583820.699997,17387542870.699997,765146549.9784073,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
67,17387583820.699997,17387583820.699997,17387542870.699997,763616256.8784504,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
68,17387583820.699997,17387592536.5,17387542870.699997,762089024.3646935,0.0,0.0,destroy_random_period,repair_regret2,0.0
69,17387583820.699997,17387592536.5,17387542870.699997,760564846.3159641,0.0,0.0,destroy_random_route,repair_regret2,0.0
70,17387583820.699997,17387583820.699997,17387542870.699997,759043716.6233321,1.0,0.0,destroy_worst_delivery,repair_random,1.0
71,17387583820.699997,17387592588.1,17387542870.699997,757525629.1900855,0.0,0.0,destroy_random_period,repair_random,0.0
72,17387583872.299995,17387583872.299995,17387542870.699997,756010577.9317054,1.0,0.0,destroy_shaw_stores,repair_random,1.0
73,17387583872.299995,17387583872.299995,17387542870.699997,754498556.775842,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
74,17387583872.299995,17387583872.299995,17387542870.699997,752989559.6622902,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
75,17387583872.299995,17387583872.299995,17387542870.699997,751483580.5429657,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
76,17387583872.299995,17387583872.299995,17387542870.699997,749980613.3818797,1.0,0.0,destroy_random_route,repair_random,1.0
77,17387583872.299995,17387592536.5,17387542870.699997,748480652.155116,0.0,0.0,destroy_random_period,repair_regret2,0.0
78,17387583872.299995,17387592588.1,17387542870.699997,746983690.8508058,0.0,0.0,destroy_random_delivery,repair_greedy,0.0
79,17387583872.299995,17387592588.1,17387542870.699997,745489723.4691042,0.0,0.0,destroy_shaw_stores,repair_random,0.0
80,17387583872.299995,17387583872.299995,17387542870.699997,743998744.022166,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
81,17387583872.299995,17387592588.1,17387542870.699997,742510746.5341216,0.0,0.0,destroy_shaw_stores,repair_random,0.0
82,17387583872.299995,17387592536.5,17387542870.699997,741025725.0410534,0.0,0.0,destroy_random_period,repair_regret2,0.0
83,17387583872.299995,17387583872.299995,17387542870.699997,739543673.5909714,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
84,17387583820.699997,17387583820.699997,17387542870.699997,738064586.2437894,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
85,17387583820.699997,17387583820.699997,17387542870.699997,736588457.0713018,1.0,0.0,destroy_random_delivery,repair_random,1.0
86,17387583820.699997,17387583820.699997,17387542870.699997,735115280.1571592,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
87,17387583820.699997,17387583820.699997,17387542870.699997,733645049.5968449,1.0,0.0,destroy_worst_delivery,repair_random,1.0
88,17387583872.299995,17387583872.299995,17387542870.699997,732177759.4976512,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
89,17387583872.299995,17387592536.5,17387542870.699997,730713403.9786559,0.0,0.0,destroy_random_period,repair_greedy,0.0
90,17387583872.299995,17387583872.299995,17387542870.699997,729251977.1706986,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
91,17387583872.299995,17387592606.199997,17387542870.699997,727793473.2163572,0.0,0.0,destroy_random_delivery,repair_random,0.0
92,17387583872.299995,17387592536.5,17387542870.699997,726337886.2699245,0.0,0.0,destroy_random_period,repair_regret2,0.0
93,17387583872.299995,17387592588.1,17387542870.699997,724885210.4973847,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
94,17387583872.299995,17387583872.299995,17387542870.699997,723435440.0763899,1.0,0.0,destroy_random_delivery,repair_random,1.0
95,17387583872.299995,17387592588.1,17387542870.699997,721988569.1962371,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
96,17387583872.299995,17387583872.299995,17387542870.699997,720544592.0578446,1.0,0.0,destroy_worst_delivery,repair_random,1.0
97,17387583872.299995,17387592588.1,17387542870.699997,719103502.873729,0.0,0.0,destroy_random_delivery,repair_regret2,0.0
98,17387583820.699997,17387583820.699997,17387542870.699997,717665295.8679816,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
99,17387583820.699997,17387583820.699997,17387542870.699997,716229965.2762456,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
100,17387583820.699997,17387583820.699997,17387542870.699997,714797505.3456931,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
101,17387583820.699997,17387592536.5,17387542870.699997,713367910.3350017,0.0,0.0,destroy_shaw_stores,repair_greedy,0.0
102,17387583820.699997,17387592536.5,17387542870.699997,711941174.5143317,0.0,0.0,destroy_random_route,repair_regret2,0.0
103,17387583820.699997,17387592606.199997,17387542870.699997,710517292.165303,0.0,0.0,destroy_random_route,repair_random,0.0
104,17387583820.699997,17387583820.699997,17387542870.699997,709096257.5809724,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
105,17387583820.699997,17387592607.499996,17387542870.699997,707678065.0658104,0.0,0.0,destroy_random_delivery,repair_random,0.0
106,17387583820.699997,17387583820.699997,17387542870.699997,706262708.9356788,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
107,17387583820.699997,17387583820.699997,17387542870.699997,704850183.5178075,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
108,17387583872.299995,17387583872.299995,17387542870.699997,703440483.1507719,1.0,0.0,destroy_random_delivery,repair_random,1.0
109,17387583872.299995,17387592588.1,17387542870.699997,702033602.1844703,0.0,0.0,destroy_random_delivery,repair_random,0.0
110,17387583872.299995,17387583872.299995,17387542870.699997,700629534.9801013,1.0,0.0,destroy_random_delivery,repair_random,1.0
111,17387583820.699997,17387583820.699997,17387542870.699997,699228275.9101411,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
112,17387583820.699997,17387592588.1,17387542870.699997,697829819.3583208,0.0,0.0,destroy_random_period,repair_random,0.0
113,17387583820.699997,17387592536.5,17387542870.699997,696434159.7196041,0.0,0.0,destroy_random_route,repair_random,0.0
114,17387583820.699997,17387583820.699997,17387542870.699997,695041291.400165,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
115,17387583820.699997,17387592536.5,17387542870.699997,693651208.8173646,0.0,0.0,destroy_random_route,repair_greedy,0.0
116,17387583820.699997,17387592606.199997,17387542870.699997,692263906.3997298,0.0,0.0,destroy_random_period,repair_random,0.0
117,17387583820.699997,17387592536.5,17387542870.699997,690879378.5869304,0.0,0.0,destroy_random_period,repair_random,0.0
118,17387583820.699997,17387592536.5,17387542870.699997,689497619.8297565,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
119,17387583820.699997,17387583820.699997,17387542870.699997,688118624.590097,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
120,17387583820.699997,17387583820.699997,17387542870.699997,686742387.3409168,1.0,0.0,destroy_shaw_stores,repair_random,1.0
121,17387583820.699997,17387592536.5,17387542870.699997,685368902.566235,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
122,17387583820.699997,17387583820.699997,17387542870.699997,683998164.7611024,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
123,17387583820.699997,17387583820.699997,17387542870.699997,682630168.4315802,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
124,17387583820.699997,17387583820.699997,17387542870.699997,681264908.094717,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
125,17387583820.699997,17387583820.699997,17387542870.699997,679902378.2785276,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
126,17387583872.299995,17387583872.299995,17387542870.699997,678542573.5219705,1.0,0.0,destroy_shaw_stores,repair_random,1.0
127,17387583820.699997,17387583820.699997,17387542870.699997,677185488.3749266,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
128,17387583820.699997,17387583820.699997,17387542870.699997,675831117.3981767,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
129,17387583820.699997,17387583820.699997,17387542870.699997,674479455.1633803,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
130,17387583820.699997,17387583820.699997,17387542870.699997,673130496.2530535,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
131,17387583820.699997,17387583820.699997,17387542870.699997,671784235.2605474,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
132,17387583820.699997,17387583820.699997,17387542870.699997,670440666.7900263,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
133,17387583820.699997,17387583820.699997,17387542870.699997,669099785.4564463,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
134,17387583820.699997,17387592536.5,17387542870.699997,667761585.8855335,0.0,0.0,destroy_random_period,repair_greedy,0.0
135,17387583820.699997,17387583820.699997,17387542870.699997,666426062.7137624,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
136,17387583820.699997,17387583820.699997,17387542870.699997,665093210.5883349,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
137,17387583872.299995,17387583872.299995,17387542870.699997,663763024.1671582,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
138,17387583872.299995,17387592536.5,17387542870.699997,662435498.1188239,0.0,0.0,destroy_random_period,repair_greedy,0.0
139,17387583872.299995,17387583872.299995,17387542870.699997,661110627.1225863,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
140,17387583872.299995,17387583872.299995,17387542870.699997,659788405.8683411,1.0,0.0,destroy_random_delivery,repair_random,1.0
141,17387583820.699997,17387583820.699997,17387542870.699997,658468829.0566044,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
142,17387583820.699997,17387583820.699997,17387542870.699997,657151891.3984911,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
143,17387583820.699997,17387583820.699997,17387542870.699997,655837587.6156942,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
144,17387583820.699997,17387592607.499996,17387542870.699997,654525912.4404628,0.0,0.0,destroy_random_route,repair_random,0.0
145,17387583820.699997,17387583820.699997,17387542870.699997,653216860.6155819,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
146,17387583820.699997,17387583820.699997,17387542870.699997,651910426.8943506,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
147,17387583872.299995,17387583872.299995,17387542870.699997,650606606.0405619,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
148,17387583820.699997,17387583820.699997,17387542870.699997,649305392.8284808,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
149,17387583820.699997,17387583820.699997,17387542870.699997,648006782.0428239,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
150,17387583820.699997,17387583820.699997,17387542870.699997,646710768.4787383,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
151,17387583820.699997,17387592536.5,17387542870.699997,645417346.9417808,0.0,0.0,destroy_shaw_stores,repair_greedy,0.0
152,17387583820.699997,17387583820.699997,17387542870.699997,644126512.2478973,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
153,17387583820.699997,17387592536.5,17387542870.699997,642838259.2234014,0.0,0.0,destroy_shaw_stores,repair_greedy,0.0
154,17387583872.299995,17387583872.299995,17387542870.699997,641552582.7049546,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
155,17387583872.299995,17387583872.299995,17387542870.699997,640269477.5395447,1.0,0.0,destroy_shaw_stores,repair_random,1.0
156,17387583872.299995,17387583872.299995,17387542870.699997,638988938.5844656,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
157,17387583820.699997,17387583820.699997,17387542870.699997,637710960.7072967,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
158,17387583820.699997,17387592536.5,17387542870.699997,636435538.7858821,0.0,0.0,destroy_random_delivery,repair_regret2,0.0
159,17387583820.699997,17387583820.699997,17387542870.699997,635162667.7083104,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
160,17387583820.699997,17387592536.5,17387542870.699997,633892342.3728937,0.0,0.0,destroy_random_period,repair_greedy,0.0
161,17387583820.699997,17387583820.699997,17387542870.699997,632624557.6881479,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
162,17387583820.699997,17387583820.699997,17387542870.699997,631359308.5727715,1.0,0.0,destroy_worst_delivery,repair_random,1.0
163,17387583820.699997,17387592536.5,17387542870.699997,630096589.955626,0.0,0.0,destroy_shaw_stores,repair_greedy,0.0
164,17387583820.699997,17387592607.499996,17387542870.699997,628836396.7757148,0.0,0.0,destroy_random_delivery,repair_random,0.0
165,17387583820.699997,17387592536.5,17387542870.699997,627578723.9821633,0.0,0.0,destroy_random_delivery,repair_greedy,0.0
166,17387583820.699997,17387583820.699997,17387542870.699997,626323566.534199,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
167,17387583820.699997,17387583820.699997,17387542870.699997,625070919.4011306,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
168,17387583820.699997,17387583820.699997,17387542870.699997,623820777.5623283,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
169,17387583820.699997,17387583820.699997,17387542870.699997,622573136.0072037,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
170,17387583820.699997,17387583820.699997,17387542870.699997,621327989.7351893,1.0,0.0,destroy_worst_delivery,repair_random,1.0
171,17387583820.699997,17387583820.699997,17387542870.699997,620085333.755719,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
172,17387583820.699997,17387583820.699997,17387542870.699997,618845163.0882075,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
173,17387583872.299995,17387583872.299995,17387542870.699997,617607472.7620311,1.0,0.0,destroy_shaw_stores,repair_random,1.0
174,17387583872.299995,17387583872.299995,17387542870.699997,616372257.816507,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
175,17387583820.699997,17387583820.699997,17387542870.699997,615139513.300874,1.0,0.0,destroy_random_delivery,repair_random,1.0
176,17387583872.299995,17387583872.299995,17387542870.699997,613909234.2742722,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
177,17387583820.699997,17387583820.699997,17387542870.699997,612681415.8057237,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
178,17387583820.699997,17387592536.5,17387542870.699997,611456052.9741123,0.0,0.0,destroy_random_route,repair_regret2,0.0
179,17387583820.699997,17387583820.699997,17387542870.699997,610233140.8681641,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
180,17387583820.699997,17387583820.699997,17387542870.699997,609012674.5864277,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
181,17387583820.699997,17387583820.699997,17387542870.699997,607794649.2372549,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
182,17387583820.699997,17387592536.5,17387542870.699997,606579059.9387803,0.0,0.0,destroy_random_route,repair_regret2,0.0
183,17387583872.299995,17387583872.299995,17387542870.699997,605365901.8189027,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
184,17387583820.699997,17387583820.699997,17387542870.699997,604155170.0152649,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
185,17387583820.699997,17387583820.699997,17387542870.699997,602946859.6752343,1.0,0.0,destroy_shaw_stores,repair_regret2,1.0
186,17387583820.699997,17387583820.699997,17387542870.699997,601740965.9558839,1.0,0.0,destroy_worst_delivery,repair_random,1.0
187,17387583820.699997,17387583820.699997,17387542870.699997,600537484.023972,1.0,0.0,destroy_random_delivery,repair_random,1.0
188,17387583820.699997,17387583820.699997,17387542870.699997,599336409.055924,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
189,17387583820.699997,17387583820.699997,17387542870.699997,598137736.2378122,1.0,0.0,destroy_worst_delivery,repair_random,1.0
190,17387583820.699997,17387583820.699997,17387542870.699997,596941460.7653365,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
191,17387583820.699997,17387592536.5,17387542870.699997,595747577.8438058,0.0,0.0,destroy_shaw_stores,repair_regret2,0.0
192,17387583820.699997,17387583820.699997,17387542870.699997,594556082.6881182,1.0,0.0,destroy_shaw_stores,repair_random,1.0
193,17387583820.699997,17387583820.699997,17387542870.699997,593366970.522742,1.0,0.0,destroy_worst_delivery,repair_random,1.0
194,17387583820.699997,17387583820.699997,17387542870.699997,592180236.5816965,1.0,0.0,destroy_worst_delivery,repair_regret2,1.0
195,17387583872.299995,17387583872.299995,17387542870.699997,590995876.1085331,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
196,17387583872.299995,17387592536.5,17387542870.699997,589813884.3563161,0.0,0.0,destroy_random_period,repair_greedy,0.0
197,17387583872.299995,17387583872.299995,17387542870.699997,588634256.5876034,1.0,0.0,destroy_worst_delivery,repair_random,1.0
198,17387583872.299995,17387583872.299995,17387542870.699997,587456988.0744282,1.0,0.0,destroy_random_delivery,repair_random,1.0
199,17387583820.699997,17387583820.699997,17387542870.699997,586282074.0982794,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
200,17387583820.699997,17387583820.699997,17387542870.699997,585109509.9500828,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
201,17387583820.699997,17387583820.699997,17387542870.699997,583939290.9301826,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
202,17387583820.699997,17387583820.699997,17387542870.699997,582771412.3483222,1.0,0.0,destroy_shaw_stores,repair_random,1.0
203,17387583820.699997,17387583820.699997,17387542870.699997,581605869.5236255,1.0,0.0,destroy_worst_delivery,repair_random,1.0
204,17387583820.699997,17387583820.699997,17387542870.699997,580442657.7845782,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
205,17387583820.699997,17387583820.699997,17387542870.699997,579281772.469009,1.0,0.0,destroy_random_delivery,repair_random,1.0
206,17387583820.699997,17387583820.699997,17387542870.699997,578123208.9240711,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
207,17387583820.699997,17387592536.5,17387542870.699997,576966962.506223,0.0,0.0,destroy_random_period,repair_regret2,0.0
208,17387583820.699997,17387583820.699997,17387542870.699997,575813028.5812105,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
209,17387583820.699997,17387592536.5,17387542870.699997,574661402.5240481,0.0,0.0,destroy_random_period,repair_regret2,0.0
210,17387583820.699997,17387583820.699997,17387542870.699997,573512079.719,1.0,0.0,destroy_shaw_stores,repair_greedy,1.0
211,17387583820.699997,17387583820.699997,17387542870.699997,572365055.559562,1.0,0.0,destroy_random_delivery,repair_greedy,1.0
212,17387583820.699997,17387583820.699997,17387542870.699997,571220325.4484428,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
213,17387583820.699997,17387583820.699997,17387542870.699997,570077884.7975459,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
214,17387583872.299995,17387583872.299995,17387542870.699997,568937729.0279508,1.0,0.0,destroy_shaw_stores,repair_random,1.0
215,17387583872.299995,17387592606.199997,17387542870.699997,567799853.5698949,0.0,0.0,destroy_random_route,repair_random,0.0
216,17387583872.299995,17387583872.299995,17387542870.699997,566664253.8627551,1.0,0.0,destroy_random_delivery,repair_regret2,1.0
217,17387583820.699997,17387583820.699997,17387542870.699997,565530925.3550296,1.0,0.0,destroy_low_demand_stores,repair_regret2,1.0
218,17387583820.699997,17387583820.699997,17387542870.699997,564399863.5043195,1.0,0.0,destroy_low_demand_stores,repair_greedy,1.0
219,17387583820.699997,17387592607.499996,17387542870.699997,563271063.777311,0.0,0.0,destroy_shaw_stores,repair_random,0.0
220,17387583820.699997,17387583820.699997,17387542870.699997,562144521.6497563,1.0,0.0,destroy_worst_delivery,repair_greedy,1.0
221,17387583820.699997,17387583820.699997,17387542870.699997,561020232.6064568,1.0,0.0,destroy_low_demand_stores,repair_random,1.0
222,17387583820.699997,17387592536.5,17387542870.699997,559898192.1412438,0.0,0.0,destroy_random_period,repair_regret2,0.0
223,17387583820.699997,17387592536.5,17387542870.699997,558778395.7569613,0.0,0.0,destroy_shaw_stores,repair_random,0.0
